"
01_Aquit_82441",,02_Square_85041,,DISTANCE = 7
nus,0,cli,-1,11
nus,-1,cli,1,12
a,2,cli,-1,13
quam,0,cli,-1,14
quam,-1,cli,1,14
vi,1,nus,0,14
vi,-1,nus,-1,14
num,-1,a,2,15
num,1,quam,0,16
fa,0,quam,-1,16
fa,1,vi,1,16
fa,-1,vi,-1,16
ctum,0,num,-1,16
di,1,num,1,16
di,1,fa,0,16
di,-2,fa,1,16
di,2,fa,-1,16
di,1,ctam,0,16
cit,-2,di,1,16
cit,-1,di,1,16
spon,-1,di,-2,16
spon,1,di,2,16
so,-1,di,1,16
ser,2,cit,-2,16
ser,-1,spon,-2,17
va,2,spon,1,17
va,2,spon,-1,17
va,-1,so,0,18
sti,-1,ser,1,19
vi,0,ser,1,20
vi,2,ser,-2,21
vi,-1,va,2,21
num,-1,va,2,22
bo,-1,va,-1,22
bo,-1,sti,-1,22
bo,1,vi,0,23
bo,1,vi,2,23
num,-2,vi,-1,23
num,-1,num,-1,23
us,0,bo,0,23
us,1,bo,-1,24
us,2,bo,2,24
us,2,num,0,25
us,-1,num,-3,26
que,-1,us,0,27
a,-2,us,1,27
a,2,us,2,27
dhuc,0,us,2,27
dhuc,0,us,-1,27
dhuc,-3,que,-1,27
hoc,2,a,-1,28
si,1,a,-1,29
gnum,-1,a,2,29
fe,-1,dhuc,0,30
cit,-1,dhuc,-3,30
Je,0,hoc,3,31
sus,-1,si,0,31
sus,2,gnum,-1,31
pri,-1,fe,-1,31
pri,1,cit,-1,32
mum,0,Je,1,32
co,1,sus,-1,33
ram,1,sus,2,33
di,1,pri,-2,34
sci,-1,pri,1,34
sci,0,mum,0,34
sci,-1,co,1,34
pu,-1,ram,1,34
pu,-1,di,1,34
lis,1,sci,-1,34
lis,1,sci,-1,34
su,-2,pu,-1,34
is,0,pu,-1,34
,,lis,1,33
,,lis,1,32
,,su,-2,31
,,is,0,30
"
","
","
","
","
"
"
05_Aquit_84540",,07_Square_84873,,DISTANCE = 17
Di,0,Di,0,0
Di,2,Di,2,0
cit,0,cit,0,0
do,0,do,0,0
do,1,do,1,0
do,-1,do,-1,0
do,-1,do,-1,0
mi,1,mi,1,0
mi,-1,mi,-1,0
mi,0,mi,0,0
mi,-1,mi,-1,0
mi,1,mi,1,0
nus,-1,nus,-1,0
nus,1,nus,1,0
im,-3,im,-3,0
im,1,im,1,0
ple,1,ple,1,0
te,-2,te,-2,0
te,2,te,2,0
hy,0,hy,0,0
dri,0,dri,0,0
dri,0,dri,0,0
as,-2,as,-2,0
as,2,as,2,0
a,0,a,0,0
a,1,a,1,0
a,-1,a,-1,0
qua,0,qua,0,0
et,0,et,0,0
fer,1,fer,1,0
fer,1,fer,1,0
te,0,te,0,0
ar,0,ar,0,0
chi,0,chi,0,0
tri,0,tri,0,0
tri,1,tri,1,0
tri,1,tri,1,0
cli,-3,cli,-3,0
cli,1,cli,1,0
cli,-1,cli,-1,0
cli,-1,cli,-1,0
cli,1,cli,1,0
no,0,no,0,0
no,-1,no,-1,0
dum,0,dum,0,0
gu,2,gu,2,0
gu,-1,gu,-1,0
stas,1,stas,-1,1
stas,2,stas,2,1
stas,0,stas,-1,2
set,-2,stas,1,3
set,1,set,-2,4
tri,-1,set,1,4
tri,-1,ar,-2,5
tri,1,ar,1,5
cli,-1,chi,-2,6
cli,1,tri,2,7
cli,-1,tri,-1,7
cli,-1,tri,1,8
cli,1,cli,-1,9
nus,0,cli,1,9
nus,-1,cli,-1,9
a,2,cli,-1,10
quam,0,cli,1,11
quam,-1,nus,0,11
vi,1,nus,-1,11
vi,-1,a,2,11
num,-1,quam,0,11
num,1,quam,-1,11
fa,0,vi,1,11
fa,1,vi,-1,11
fa,-1,num,-1,11
ctum,0,num,1,11
di,1,fa,0,11
di,1,fa,1,11
di,-2,fa,-1,11
di,2,ctum,0,11
di,1,di,1,11
cit,-2,di,1,11
cit,-1,,0,12
spon,-1,,2,12
spon,1,,1,12
so,-1,cit,-2,12
ser,2,spon,-2,13
ser,-1,spon,1,13
va,2,sus,-1,13
va,2,ser,2,13
va,-1,va,1,14
sti,-1,va,2,14
vi,0,va,-1,14
vi,2,sti,-2,15
vi,-1,vi,1,16
num,-1,vi,2,16
bo,-1,vi,-1,16
bo,-1,num,-1,16
bo,1,bo,-1,16
bo,1,bo,-1,16
num,-2,bo,1,16
num,-1,bo,1,16
us,0,num,-2,16
us,1,num,-1,16
us,2,us,0,16
us,2,us,1,16
us,-1,us,2,16
que,-1,us,2,16
a,-2,us,-1,16
a,2,que,-1,16
dhuc,0,a,-2,16
dhuc,0,a,2,16
dhuc,-3,dhuc,0,16
hoc,2,dhuc,-3,16
si,1,hoc,2,16
gnum,-1,si,1,16
fe,-1,gnum,-1,16
cit,-1,fe,-1,16
Je,0,cit,-1,16
sus,-1,Je,0,16
sus,2,sus,-1,16
pri,-1,sus,2,16
pri,1,pri,-2,17
mum,0,pri,1,17
co,1,mum,0,17
ram,1,co,2,18
di,1,ram,1,18
sci,-1,di,1,18
sci,0,sci,-1,18
sci,-1,sci,0,18
pu,-1,sci,-1,18
