"
01_Aquit_82441",,02_Square_85041,,DISTANCE = 7
tem,-1,pa,-2,18
sunt,1,pa,2,19
sunt,1,pa,-1,20
in,-1,pa,0,20
pa,-2,ce,0,21
pa,2,ce,-1,21
pa,-1,,,20
pa,0,,,19
ce,0,,,18
ce,-1,,,17
"
","
","
","
","
"
"
19_Aquit_84600",,20_Aquit_83880,,DISTANCE = 24
Man,0,Man,0,0
Man,1,Man,1,0
du,-2,du,-2,0
du,1,ca,1,0
ca,0,ve,2,1
ca,2,ve,1,2
ca,1,runt,1,2
ve,1,runt,-2,2
ve,-1,runt,1,3
ve,1,runt,1,3
runt,0,runt,0,3
runt,-1,runt,-1,3
et,0,et,0,3
et,1,et,1,3
sa,-1,sa,-1,3
tu,-1,tu,-1,3
tu,-1,tu,-1,3
ra,1,ra,1,3
ra,1,ra,-5,4
ra,1,ti,6,5
ti,-1,sunt,-1,5
sunt,-1,ni,1,6
ni,1,mis,-3,7
ni,0,et,0,7
mis,-3,de,2,8
et,0,de,-1,9
de,2,si,1,9
si,0,de,1,10
de,1,de,1,10
de,1,ri,-1,10
ri,-1,um,0,10
um,0,e,0,10
e,0,o,-1,10
o,-1,o,-1,10
o,1,o,1,10
o,-1,rum,-2,11
o,1,rum,1,11
rum,-3,rum,-2,12
rum,1,at,3,13
rum,-2,at,1,13
at,3,tu,-1,13
at,0,lit,0,13
at,1,e,0,14
tu,-1,is,0,15
tu,1,is,1,15
lit,-1,is,1,16
e,0,is,1,17
is,0,is,-2,18
is,1,is,1,18
is,1,is,1,18
is,1,is,-1,18
is,-2,is,-1,18
is,1,do,-1,18
is,1,mi,0,18
is,-1,mi,1,18
is,-1,mi,1,18
mi,0,mi,-1,18
mi,1,mi,-1,18
mi,-1,mi,1,18
mi,-1,nus,0,18
mi,1,nus,-1,18
nus,0,non,2,18
nus,-1,sunt,-1,18
non,2,frau,-1,18
sunt,-1,da,1,18
frau,-1,da,0,18
da,1,ti,-3,18
da,0,a,0,18
a,-3,a,1,18
a,1,a,1,18
a,1,a,0,18
a,-1,a,-1,18
a,-1,a,-1,18
de,-1,de,-1,18
si,1,si,1,18
de,2,de,2,18
de,1,de,1,18
o,1,ri,0,19
o,-2,o,0,20
o,0,o,1,21
o,-1,o,-2,22
su,-1,o,1,23
su,1,o,-1,23
su,1,o,-1,23
su,-1,su,-1,23
su,-1,su,1,24
su,1,su,1,24
o,0,su,-1,25
o,-1,su,1,25
,,o,-1,24
,,o,-1,24
"
","
","
","
","
"
"
19_Aquit_84600",,21_Square_84880,,DISTANCE = 23
Man,0,Man,0,0
Man,1,Man,1,0
du,-2,du,-2,0
du,1,ca,1,0
ca,0,ve,2,1
ca,2,ve,1,2
ca,1,runt,1,2
ve,1,runt,-2,2
ve,-1,runt,1,3
ve,1,runt,1,3
runt,0,runt,0,3
runt,-1,runt,-1,3
et,0,et,0,3
et,1,et,1,3
sa,-1,sa,-1,3
tu,-1,tu,-1,3
tu,-1,tu,-1,3
ra,1,ra,1,3
ra,1,ra,2,4
ra,1,ti,-1,5
ti,-1,sunt,-1,5
sunt,-1,ni,1,6
ni,1,mis,-3,6
ni,0,et,0,6
mis,-3,de,2,7
et,0,de,-1,8
de,2,si,1,8
si,0,de,1,9
de,1,de,1,9
de,1,ri,-1,9
ri,-1,um,0,9
um,0,e,0,9
e,0,o,-1,9
o,-1,o,-1,9
o,1,o,1,9
o,-1,rum,-2,10
o,1,rum,1,10
rum,-3,rum,-2,11
rum,1,at,3,12
rum,-2,at,1,12
at,3,tu,-1,12
at,0,lit,0,12
at,1,e,0,13
tu,-1,is,0,14
tu,1,is,1,14
lit,-1,is,1,15
e,0,is,1,16
is,0,is,-2,17
is,1,is,1,17
is,1,is,1,17
is,1,is,-1,17
is,-2,is,-1,17
is,1,do,-1,17
is,1,mi,0,17
is,-1,mi,1,17
is,-1,mi,1,17
mi,0,mi,-1,17
mi,1,mi,-1,17
mi,-1,mi,1,17
mi,-1,nus,0,17
mi,1,nus,-1,17
nus,0,non,2,17
nus,-1,sunt,-1,17
non,2,frau,-1,17
sunt,-1,da,1,17
frau,-1,da,0,17
da,1,ti,-3,17
da,0,a,0,17
a,-3,a,1,17
a,1,a,1,17
a,1,a,0,17
a,-1,a,-1,17
a,-1,a,-1,17
de,-1,de,-1,17
si,1,si,1,17
de,2,de,2,17
de,1,de,1,17
o,1,ri,0,18
o,-2,o,0,19
o,0,o,1,20
o,-1,o,-2,21
su,-1,o,1,22
su,1,o,-1,22
su,1,o,-1,22
su,-1,su,-1,22
su,-1,su,1,23
su,1,su,1,23
o,0,su,-1,24
o,-1,su,1,24
,,o,-1,23
,,o,-1,23
"
","
","
","
","
"
"
20_Aquit_83880",,21_Square_84880,,DISTANCE = 2
Man,0,Man,0,0
Man,1,Man,1,0
du,-2,du,-2,0
ca,1,ca,1,0
ve,2,ve,2,0
ve,1,ve,1,0
runt,1,runt,1,0
runt,-2,runt,-2,0
runt,1,runt,1,0
runt,1,runt,1,0
runt,0,runt,0,0
runt,-1,runt,-1,0
et,0,et,0,0
et,1,et,1,0
sa,-1,sa,-1,0
tu,-1,tu,-1,0
tu,-1,tu,-1,0
ra,1,ra,1,0
ra,-5,ra,2,1
ti,6,ti,-1,2
sunt,-1,sunt,-1,2
ni,1,ni,1,2
mis,-3,mis,-3,2
et,0,et,0,2
de,2,de,2,2
de,-1,de,-1,2
si,1,si,1,2
de,1,de,1,2
de,1,de,1,2
ri,-1,ri,-1,2
um,0,um,0,2
e,0,e,0,2
o,-1,o,-1,2
o,-1,o,-1,2
o,1,o,1,2
rum,-2,rum,-2,2
rum,1,rum,1,2
rum,-2,rum,-2,2
at,3,at,3,2
at,1,at,1,2
tu,-1,tu,-1,2
lit,0,lit,0,2
e,0,e,0,2
is,0,is,0,2
is,1,is,1,2
is,1,is,1,2
is,1,is,1,2
is,-2,is,-2,2
is,1,is,1,2
is,1,is,1,2
is,-1,is,-1,2
is,-1,is,-1,2
do,-1,do,-1,2
mi,0,mi,0,2
mi,1,mi,1,2
mi,1,mi,1,2
mi,-1,mi,-1,2
mi,-1,mi,-1,2
mi,1,mi,1,2
nus,0,nus,0,2
nus,-1,nus,-1,2
non,2,non,2,2
sunt,-1,sunt,-1,2
frau,-1,frau,-1,2
da,1,da,1,2
da,0,da,0,2
ti,-3,ti,-3,2
a,0,a,0,2
a,1,a,1,2
a,1,a,1,2
a,0,a,0,2
a,-1,a,-1,2
a,-1,a,-1,2
de,-1,de,-1,2
si,1,si,1,2
de,2,de,2,2
de,1,de,1,2
ri,0,ri,0,2
o,0,o,0,2
o,1,o,1,2
o,-2,o,-2,2
o,1,o,1,2
o,-1,o,-1,2
o,-1,o,-1,2
su,-1,su,-1,2
su,1,su,1,2
su,1,su,1,2
su,-1,su,-1,2
su,1,su,1,2
o,-1,o,-1,2
o,-1,o,-1,2
"
","
","
","
","
"
